code,date,lv,lv_hi,r1,mkt,exc,short_pnl
26930,2017-10-04,1084700.0,1,-0.04603580562659848,-0.004477547763177402,-0.04155825786342108,0.04155825786342108
26930,2017-12-01,1650300.0,1,-0.0329489291598023,-0.0031437270367292917,-0.029805202123073006,0.029805202123073006
26930,2019-11-05,1057100.0,1,-0.026030368763557465,-0.0003562824143397064,-0.025674086349217758,0.025674086349217758
27000,2025-08-25,277800.0,0,-0.02303262955854124,-0.0043339518187279664,-0.018698677739813273,0.018698677739813273
27080,2023-08-23,200400.0,0,-0.013850415512465353,0.003111223044136168,-0.01696163855660152,0.01696163855660152
27210,2017-03-03,136300.0,0,-0.12295081967213117,0.0028404165135028905,-0.12579123618563406,0.12579123618563406
27210,2023-04-11,1322100.0,1,-0.0786026200873362,0.004925693113843902,-0.08352831320118011,0.08352831320118011
27620,2023-05-22,1350200.0,1,-0.0423728813559322,-0.006517498767955599,-0.0358553825879766,0.0358553825879766
276A0,2025-01-24,648300.0,1,-0.03063457330415753,0.00521791513917339,-0.03585248844333092,0.03585248844333092
27780,2017-12-07,1338300.0,1,0.060559006211180044,0.005697443734516217,0.05486156247666383,-0.05486156247666383
27780,2021-08-04,271500.0,0,-0.027450980392156876,-0.0036031805022685454,-0.023847799889888333,0.023847799889888333
278A0,2025-01-17,746300.0,1,-0.026066350710900466,0.008585890314524072,-0.03465224102542454,0.03465224102542454
281A0,2025-07-18,956800.0,1,0.21246458923512757,0.0017461943302528717,0.2107183949048747,-0.2107183949048747
29010,2019-02-26,2221800.0,1,0.0,0.005669888701774617,-0.005669888701774617,0.005669888701774617
290A0,2025-02-10,1344100.0,1,0.0894117647058823,0.005008871545506464,0.08440289316037584,-0.08440289316037584
29260,2021-01-14,2230200.0,1,-0.04761904761904767,-0.005373933403501754,-0.042245114215545915,0.042245114215545915
29290,2018-03-01,4028400.0,1,-0.03703703703703709,-0.012600701807375487,-0.024436335229661606,0.024436335229661606
29290,2020-01-20,4398900.0,1,-0.02004716981132071,0.0011737551458609208,-0.021220924957181628,0.021220924957181628
29290,2021-06-10,5466100.0,1,-0.015214384508990264,-0.0024146144038287988,-0.012799770105161465,0.012799770105161465
29300,2017-04-04,889000.0,1,-0.10431654676258995,-0.001801120074855863,-0.10251542668773408,0.10251542668773408
29360,2024-10-28,14117700.0,1,0.18903591682419663,0.008420610638344652,0.18061530618585198,-0.18061530618585198
30040,2021-01-18,294000.0,0,-0.06120331950207469,0.0032812986554018667,-0.06448461815747655,0.06448461815747655
30410,2023-05-15,359600.0,0,1.11731843575419,-0.0006614992501670989,1.117979935004357,-1.117979935004357
30410,2023-09-07,674000.0,1,0.022171688459351913,-0.00515537838838564,0.02732706684773755,-0.02732706684773755
30530,2017-08-24,802400.0,1,-0.04781997187060483,0.0033641796012124953,-0.051184151471817325,0.051184151471817325
30540,2018-01-30,476300.0,0,0.025936599423631135,-0.006089552811172847,0.032026152234803984,-0.032026152234803984
30830,2018-03-14,185700.0,0,-0.12246553122465531,-0.0001136718652769659,-0.12235185935937834,0.12235185935937834
30830,2021-11-09,308800.0,0,-0.23419203747072603,-0.0013429844383160694,-0.23284905303240996,0.23284905303240996
30830,2023-02-09,273800.0,0,-0.05888888888888888,-0.0033997465637153616,-0.05548914232517352,0.05548914232517352
31110,2023-03-01,696600.0,1,-0.07058823529411762,0.0003931516328435937,-0.07098138692696121,0.07098138692696121
31210,2021-11-17,3196900.0,1,0.05596107055961075,-0.0030196264086775866,0.05898069696828834,-0.05898069696828834
31350,2019-02-26,239600.0,0,-0.02148760330578514,0.005669888701774617,-0.027157492007559757,0.027157492007559757
31370,2025-04-25,554700.0,1,-0.10438729198184571,0.005648834693754954,-0.11003612667560066,0.11003612667560066
31610,2020-01-28,844700.0,1,0.10763358778625953,-0.0016609936208809874,0.10929458140714052,-0.10929458140714052
31850,2021-11-24,891100.0,1,-0.10304449648711944,-0.002012691218589869,-0.10103180526852958,0.10103180526852958
31850,2024-12-26,2646900.0,1,-0.04255319148936165,0.010211030401059813,-0.052764221890421466,0.052764221890421466
31890,2020-06-29,1013600.0,1,0.09380097879282223,0.00300127788982589,0.09079970090299634,-0.09079970090299634
32020,2020-02-12,3825000.0,1,-0.14400000000000002,-0.0015971042055485834,-0.14240289579445142,0.14240289579445142
32670,2017-11-17,671900.0,1,0.22292993630573243,0.007454313023755239,0.2154756232819772,-0.2154756232819772
32670,2018-01-25,713800.0,1,0.018018018018018056,0.002752656887879711,0.015265361130138344,-0.015265361130138344
33260,2021-05-31,208600.0,0,-0.1357409713574097,0.0026641562247857278,-0.13840512758219542,0.13840512758219542
33280,2022-04-01,2387000.0,1,-0.08382978723404255,0.008765948320192056,-0.09259573555423461,0.09259573555423461
33440,2018-03-01,187200.0,0,-0.030874785591766707,-0.012600701807375487,-0.018274083784391222,0.018274083784391222
33500,2025-06-06,23276800.0,1,0.15137956748695003,0.0038985757568531804,0.14748099173009685,-0.14748099173009685
33560,2018-09-14,5693500.0,1,-0.02405498281786944,0.010099765117822084,-0.03415474793569152,0.03415474793569152
33580,2018-01-31,151500.0,0,-0.07504078303425765,0.013930796849982352,-0.08897157988424001,0.08897157988424001
33580,2022-10-07,1364000.0,1,0.21739130434782616,-0.01290328375641628,0.23029458810424244,-0.23029458810424244
33700,2018-01-22,185600.0,0,-0.01272605492297385,0.009087399094605519,-0.02181345401757937,0.02181345401757937
33770,2020-10-09,1219200.0,1,0.0,0.0018194789509629178,-0.0018194789509629178,0.0018194789509629178
33770,2021-08-02,869900.0,1,0.016755521706016685,-0.003829840956061855,0.02058536266207854,-0.02058536266207854
338A0,2025-04-21,214100.0,0,-0.21534437663469919,0.0020950245478444348,-0.21743940118254362,0.21743940118254362
33900,2017-07-21,8190900.0,1,0.09219858156028371,0.003062088926493577,0.08913649263379013,-0.08913649263379013
33900,2021-07-08,8269100.0,1,-0.06140350877192979,0.0003400649486168485,-0.06174357372054664,0.06174357372054664
34090,2019-07-30,403800.0,0,-0.0021459227467811592,-0.003530302144962107,0.0013843793981809477,-0.0013843793981809477
34090,2019-12-27,395800.0,0,0.0038809831824062613,-0.0017954653281268681,0.005676448510533129,-0.005676448510533129
34170,2017-11-14,169900.0,0,-0.04124926340601065,-0.022586511467711852,-0.018662751938298798,0.018662751938298798
341A0,2025-05-26,942000.0,1,-0.046417305092383954,0.005929672841519026,-0.05234697793390298,0.05234697793390298
34410,2017-09-04,722700.0,1,-0.1165181631254284,-0.02023946615559224,-0.09627869696983615,0.09627869696983615
34490,2020-05-20,545300.0,1,0.010273972602739656,0.00491017278126524,0.005363799821474416,-0.005363799821474416
34610,2018-04-27,141100.0,0,-0.07216494845360821,-0.0020759952373075666,-0.07008895321630065,0.07008895321630065
34690,2019-01-24,583100.0,1,0.03515625,0.007697740122488192,0.02745850987751181,-0.02745850987751181
34980,2019-10-28,71800.0,0,-0.017316017316017285,0.005839721643298764,-0.02315573895931605,0.02315573895931605
35260,2017-07-07,7870000.0,1,0.034383954154727725,0.007654204539746124,0.0267297496149816,-0.0267297496149816
35360,2020-08-21,1695500.0,1,0.030120481927710774,0.003137671017200684,0.02698281091051009,-0.02698281091051009
35420,2020-08-12,931500.0,1,0.006644518272425293,0.008895886031597538,-0.002251367759172245,0.002251367759172245
35470,2017-12-04,530500.0,1,-0.029069767441860517,-0.0018967978282537026,-0.027172969613606813,0.027172969613606813
35560,2020-09-17,979800.0,1,-0.01594896331738438,0.007929879066055126,-0.023878842383439507,0.023878842383439507
35650,2017-09-05,462600.0,0,-0.01424589656240316,0.00476274508571817,-0.01900864164812133,0.01900864164812133
36040,2020-02-14,547200.0,1,0.21891418563922938,-0.014539897402748693,0.23345408304197807,-0.23345408304197807
36040,2020-11-24,615100.0,1,-0.037442922374429255,-0.003085760660289001,-0.03435716171414025,0.03435716171414025
36040,2022-01-14,555600.0,1,-0.1747503566333809,-0.005515077384215751,-0.16923527924916515,0.16923527924916515
36060,2017-04-26,11547400.0,1,-0.025316455696202556,0.005100201292730418,-0.030416656988932974,0.030416656988932974
36060,2017-07-27,13481500.0,1,-0.009433962264150941,-0.005568036051867489,-0.0038659262122834525,0.0038659262122834525
36220,2019-02-18,207600.0,0,0.0025031289111390187,0.0033950168713976453,-0.0008918879602586266,0.0008918879602586266
36230,2017-12-14,182600.0,0,-0.03171390013495279,-0.0032808111950305197,-0.028433088939922267,0.028433088939922267
36230,2019-10-03,481900.0,0,-0.034689793195463614,0.004347297189359242,-0.03903709038482286,0.03903709038482286
36240,2017-08-18,1087800.0,1,0.030716723549488067,0.00026527738329038306,0.030451446166197684,-0.030451446166197684
36240,2018-04-02,1322000.0,1,-0.0022222222222222365,-0.0024688859173421763,0.00024666369511993974,-0.00024666369511993974
36240,2019-07-11,855300.0,1,0.06719367588932812,-0.006186636675092005,0.07338031256442012,-0.07338031256442012
36240,2019-12-12,1464900.0,1,0.02111801242236022,0.005046224547277891,0.01607178787508233,-0.01607178787508233
36240,2025-01-10,3014000.0,1,-0.04477611940298509,-0.0091063023594144,-0.035669817043570695,0.035669817043570695
36270,2018-07-27,1546600.0,1,-0.021943573667711602,-0.003933242824100664,-0.01801033084361094,0.01801033084361094
36270,2018-11-02,1719700.0,1,-0.129746835443038,-0.0022966936534445253,-0.12745014178959346,0.12745014178959346
36280,2020-08-26,289900.0,0,-0.02254980079681268,-0.004170769631939644,-0.018379031164873036,0.018379031164873036
36390,2025-05-23,635800.0,1,-0.22530864197530864,0.005715123499205407,-0.23102376547451406,0.23102376547451406
