code,date,r20,short_pnl,grp
36900,2023-11-28,0.44398340248962653,0.016482273031010575,mihatsudo
24840,2017-05-12,0.47935779816513757,0.03322123476046262,mihatsudo
70490,2021-10-27,0.48099606815203155,0.008283899769489945,mihatsudo
45950,2017-06-06,0.41497659906396245,-0.007555072810402886,mihatsudo
21640,2022-08-31,0.5038363171355498,0.09302101008255739,mihatsudo
97090,2020-02-04,0.43939393939393945,0.04192969715444465,mihatsudo
48750,2022-04-14,0.4043321299638989,-0.006649894031237982,mihatsudo
68790,2025-06-04,0.4193548387096775,-0.0020578332240557824,mihatsudo
78780,2020-01-24,0.4249550873754697,0.03350337531482751,mihatsudo
68820,2017-09-15,0.49812030075187974,-0.05517351811957382,mihatsudo
78680,2019-01-21,0.46954314720812174,-0.05668695088974479,mihatsudo
99190,2021-12-03,0.49918032786885247,0.019961423223577857,mihatsudo
44350,2019-12-09,0.5101663585951941,-0.02607031951810831,mihatsudo
73170,2020-09-09,0.4479305740987982,0.027051412586030266,mihatsudo
78060,2020-09-09,0.4022988505747127,-0.0011749363395907693,mihatsudo
40260,2021-01-04,0.4394230769230769,0.024123108171449283,mihatsudo
88060,2021-12-03,0.4588002636783124,-0.003286559458406944,mihatsudo
71110,2023-11-28,0.4423076923076923,0.02590756038733233,mihatsudo
39890,2023-03-08,0.4945848375451263,0.06527533285550256,mihatsudo
60950,2017-02-08,0.509433962264151,-0.0039494945510308325,mihatsudo
62920,2017-09-19,0.4273648648648649,0.0030194772752662508,mihatsudo
44910,2025-06-04,0.4199110122358176,0.018310361057181923,mihatsudo
39950,2020-08-21,0.4607843137254901,-0.1136408524727321,mihatsudo
36900,2023-12-01,0.4430641821946171,0.02957227854541732,mihatsudo
34150,2023-02-01,0.46453900709219864,0.020532923058762812,mihatsudo
21600,2022-08-05,0.4483030781373323,-0.0127876898360959,mihatsudo
66300,2017-09-19,0.43211206896551735,0.06342704447220665,mihatsudo
42590,2025-06-04,0.49085365853658547,0.06542682935263139,mihatsudo
70720,2023-02-16,0.4555827220863895,0.004454461836718481,mihatsudo
33930,2023-08-24,0.4376528117359413,-0.02048794684552251,mihatsudo
54560,2018-08-21,0.40731901352426414,0.01014930427219292,mihatsudo
97040,2024-04-08,0.40476190476190466,0.07489368415690398,mihatsudo
68570,2023-06-14,0.447209653092006,-0.0190488793465067,mihatsudo
70950,2021-07-08,0.4204545454545454,0.0003400649486168485,mihatsudo
39660,2020-09-11,0.4361485108119134,0.010159598989817194,mihatsudo
21480,2020-08-21,0.5167785234899329,-0.0020245708707049104,mihatsudo
39790,2020-09-09,0.4149425287356323,-0.023591293381934896,mihatsudo
36770,2019-03-04,0.44209558823529416,-0.015961791076430396,mihatsudo
47350,2017-10-17,0.4110169491525424,-0.03470888991051288,mihatsudo
35610,2020-05-26,0.5084427767354596,0.021974749499927962,mihatsudo
60840,2017-02-08,0.40833333333333344,0.04734899328591852,mihatsudo
16890,2022-08-05,0.4516129032258065,0.021968592331630517,mihatsudo
44430,2022-08-05,0.46875,0.020358072237067877,mihatsudo
88930,2020-05-26,0.42481203007518786,0.026611854213825517,mihatsudo
39660,2019-02-21,0.4977827050997783,-0.01395699589363761,mihatsudo
60740,2017-03-09,0.4101694915254237,0.03977653100726425,mihatsudo
54560,2018-08-15,0.4014251781472684,-0.010278251292876307,mihatsudo
53580,2017-02-08,0.42999999999999994,0.008152292550756278,mihatsudo
29800,2022-04-14,0.4739183178325921,0.02901540089331619,mihatsudo
95010,2021-01-29,0.4797047970479704,0.017046408664347854,mihatsudo
43740,2023-03-09,0.4251726784343821,0.007818201270632213,mihatsudo
43940,2018-10-03,0.48510638297872344,0.020922241644581487,mihatsudo
94700,2019-03-04,0.4770023790642348,-0.011604080227387712,mihatsudo
32710,2022-08-31,0.46575342465753433,0.021989793857749712,mihatsudo
61940,2019-02-21,0.41693811074918563,-0.02198000141530329,mihatsudo
69280,2017-02-08,0.4558536585365853,-0.09222549462548973,mihatsudo
39070,2023-04-13,0.4613284804367608,0.061533117759162745,mihatsudo
79120,2023-02-21,0.40642939150401847,0.0048495324947575805,mihatsudo
24040,2021-10-21,0.5172413793103448,0.00883075241050709,mihatsudo
99690,2020-08-21,0.46666666666666656,0.04291039828992798,mihatsudo
59990,2020-05-26,0.4230019493177388,0.010780719649181715,mihatsudo
39020,2018-04-02,0.45880452342487876,0.007497891491295651,mihatsudo
21620,2023-03-08,0.47058823529411775,0.06393647847316984,mihatsudo
68950,2017-03-09,0.46590909090909083,0.048331614489673325,mihatsudo
33530,2025-07-17,0.43724696356275294,0.06551245165579937,mihatsudo
70770,2020-05-26,0.5056787452677123,-0.0017911194312779533,mihatsudo
57260,2018-01-24,0.4375932371954252,-0.0362768804039133,mihatsudo
80720,2023-03-22,0.4306377383300459,0.12509842909637844,mihatsudo
60310,2024-05-31,0.40526315789473677,0.028190668530921385,mihatsudo
43470,2020-02-04,0.4024390243902438,-0.061846046552649206,mihatsudo
59280,2023-02-16,0.4417808219178083,-0.04683519405111848,mihatsudo
24800,2017-09-21,0.43257261410788383,-0.039941619108581315,mihatsudo
69820,2020-05-26,0.4364820846905537,-0.0005571488315439955,mihatsudo
85620,2019-11-26,0.4375,0.03034132923937484,mihatsudo
39090,2020-09-11,0.43768115942028984,-0.14105007842953757,mihatsudo
67690,2024-06-26,0.46455834242093785,-0.04023695100384908,mihatsudo
69570,2021-06-01,0.4372294372294372,-0.046117943064201805,mihatsudo
66190,2022-06-13,0.4083011583011582,-0.04413488537926205,mihatsudo
92660,2018-01-24,0.4128205128205129,-0.09925912519515157,mihatsudo
65430,2025-07-17,0.49056603773584895,-0.05900309341599459,mihatsudo
76870,2020-09-11,0.42178873757821145,0.010159598989817194,mihatsudo
33060,2020-08-21,0.45608108108108114,0.00545785663204983,mihatsudo
37500,2019-12-16,0.49408284023668636,-0.005406450802349786,mihatsudo
39880,2019-12-16,0.4553429027113236,0.03661172361783196,mihatsudo
99290,2018-02-27,0.42716535433070857,0.03183500881370768,mihatsudo
87890,2023-02-21,0.4107142857142858,0.044598090145666146,mihatsudo
98730,2019-12-09,0.44259496372172435,0.0020814552676934636,mihatsudo
65520,2018-01-24,0.4033485540334856,0.03597517568158204,mihatsudo
78960,2020-05-26,0.45771699692994683,0.010780719649181715,mihatsudo
17570,2019-07-12,0.41666666666666674,-0.003973380205039902,mihatsudo
66260,2017-09-21,0.4106583072100314,0.012610208606171772,mihatsudo
36770,2017-05-12,0.4185639229422067,-0.011504576321937637,mihatsudo
60460,2022-06-20,0.4391534391534391,0.0458271085066522,mihatsudo
