code,disc_date,stock_ret,mkt_ret,short_pnl
23790,2023-04-13,0.062222,0.007746,-0.054477
30640,2023-04-13,0.043678,0.007746,-0.035933
49800,2023-04-13,0.000463,0.007746,0.007282
77620,2023-04-13,0.0,0.007746,0.007746
68570,2023-04-27,0.00565,0.010584,0.004934
14860,2023-05-08,-0.006446,0.007116,0.013561
33090,2023-05-08,0.010417,0.007116,-0.003301
39010,2023-05-08,-0.020842,0.007116,0.027958
16770,2023-06-19,-0.000576,0.001803,0.002378
72610,2023-06-19,-0.016193,0.001803,0.017996
89670,2023-06-19,-0.012385,0.001803,0.014187
26200,2023-07-20,-0.000642,-0.003955,-0.003313
89570,2023-07-26,0.018088,-0.002304,-0.020392
26320,2023-07-27,-0.005023,-0.003481,0.001542
32920,2023-07-27,-0.038217,-0.003481,0.034736
68570,2023-07-27,0.022384,-0.003481,-0.025865
89670,2023-07-27,-0.032051,-0.003481,0.02857
14760,2023-08-17,-0.003665,-0.007358,-0.003693
89670,2023-08-17,-0.001015,-0.007358,-0.006343
14760,2023-08-18,-0.000525,0.000362,0.000887
26300,2023-08-18,0.001426,0.000362,-0.001064
30380,2023-09-12,0.025713,0.002707,-0.023007
39010,2023-09-12,-0.001623,0.002707,0.00433
40040,2023-09-12,0.003953,0.002707,-0.001246
45870,2023-09-12,-0.008009,0.002707,0.010716
49120,2023-09-12,-0.004913,0.002707,0.00762
51050,2023-09-12,0.025928,0.002707,-0.023222
25020,2023-09-19,-0.007563,0.002899,0.010462
25790,2023-09-19,-0.001951,0.002899,0.00485
30640,2023-09-19,-0.011566,0.002899,0.014465
33490,2023-09-19,0.001584,0.002899,0.001315
33910,2023-09-19,-0.025,0.002899,0.027899
36970,2023-09-19,-0.035491,0.002899,0.038391
37650,2023-09-19,0.011987,0.002899,-0.009088
40450,2023-09-19,-0.01456,0.002899,0.017459
41510,2023-09-19,-0.000741,0.002899,0.00364
44520,2023-09-19,-0.009743,0.002899,0.012642
45870,2023-09-19,-0.012515,0.002899,0.015414
49110,2023-09-19,-0.002292,0.002899,0.005191
49220,2023-09-19,0.005518,0.002899,-0.002619
49670,2023-09-19,-0.007573,0.002899,0.010472
51050,2023-09-19,0.006911,0.002899,-0.004012
51100,2023-09-19,0.013318,0.002899,-0.010418
53010,2023-09-19,0.009091,0.002899,-0.006192
61360,2023-09-19,0.011172,0.002899,-0.008272
62680,2023-09-19,0.003814,0.002899,-0.000915
63260,2023-09-19,0.003344,0.002899,-0.000445
65320,2023-09-19,-0.0146,0.002899,0.017499
67230,2023-09-19,-0.026152,0.002899,0.029051
73090,2023-09-19,0.010079,0.002899,-0.007179
74530,2023-09-19,-0.004947,0.002899,0.007846
77300,2023-09-19,-0.014591,0.002899,0.01749
77470,2023-09-19,-0.025381,0.002899,0.02828
77510,2023-09-19,0.014795,0.002899,-0.011895
89570,2023-09-19,-0.004844,0.002899,0.007743
96270,2023-09-19,0.003487,0.002899,-0.000587
25140,2023-10-04,-0.006389,-0.003124,0.003264
33090,2023-10-26,-0.00122,-0.001418,-0.000199
89670,2023-10-26,-0.009568,-0.001418,0.00815
89720,2023-10-26,-0.018868,-0.001418,0.01745
33090,2023-10-27,-0.02442,0.004267,0.028687
89670,2023-10-27,0.010018,0.004267,-0.005751
89720,2023-10-27,-0.057396,0.004267,0.061663
89720,2023-10-31,0.01723,0.016706,-0.000524
36970,2023-11-07,0.071022,6.8e-05,-0.070954
47550,2023-11-07,-0.004054,6.8e-05,0.004123
67240,2023-11-07,-0.001393,6.8e-05,0.001461
77620,2023-11-07,0.006757,6.8e-05,-0.006688
26200,2024-01-10,0.004594,0.006971,0.002377
13300,2024-02-09,0.014052,0.0032,-0.010852
14860,2024-05-07,0.002103,0.001633,-0.00047
34010,2024-05-13,-0.030132,0.002195,0.032327
40610,2024-05-13,0.018355,0.002195,-0.01616
77620,2024-05-13,-0.033301,0.002195,0.035496
89720,2024-05-13,0.008872,0.002195,-0.006677
32950,2024-05-27,-0.008784,0.001792,0.010576
89580,2024-05-27,0.007897,0.001792,-0.006105
32920,2024-05-29,-0.011914,-0.019499,-0.007586
32950,2024-05-29,-0.020904,-0.019499,0.001404
34620,2024-05-29,-0.005479,-0.019499,-0.01402
89540,2024-05-29,-0.022967,-0.019499,0.003468
89560,2024-05-29,-0.00919,-0.019499,-0.01031
89580,2024-05-29,-0.012758,-0.019499,-0.006742
89770,2024-05-29,-0.032727,-0.019499,0.013228
25110,2024-07-16,0.00218,0.003095,0.000916
13200,2024-09-02,-0.008475,-0.004645,0.003829
22120,2024-09-06,-0.005435,-0.028754,-0.023319
76490,2024-09-06,-0.002913,-0.028754,-0.025841
96010,2024-09-06,-0.027142,-0.028754,-0.001611
