code,date,sp1,sp3,sp5
36670,2019-08-05,-0.12394820997386752,-0.2707386537479357,-0.25246338996895695
36670,2019-10-31,0.00890816467182961,0.036693341102558966,0.04446771840301545
36670,2020-01-16,0.036396136179739136,0.12411083709628105,0.17146452418829453
36680,2019-10-01,-0.03696187862812222,-0.028707919149899973,0.013069292320442252
36720,2019-10-10,-0.001980421123653197,-0.10012396534952549,-0.13046953224258273
36810,2020-04-07,0.10567993508482804,0.08037365525089574,0.0021934483418479117
36860,2020-06-18,-0.08173884273335082,0.1061682779484785,0.1836789312363605
37100,2019-04-04,-0.11581935282005017,-0.2072009003018783,-0.3
37470,2019-08-22,-0.2652383033865254,-0.19723199028716729,-0.3
37470,2020-09-11,0.018663000350361364,-0.003088884673530884,0.030227983342171968
37470,2023-06-14,0.020631393459457057,-0.02558317898051694,-0.003569524918560857
37470,2025-03-13,-0.17240814437168128,-0.16248807295095707,0.041776845823895306
37470,2025-08-29,0.05562112521287351,0.2197396406767551,0.12877452299352718
37580,2017-02-14,0.040520749971202884,0.1557719717143637,0.026741030136186825
37580,2017-03-17,0.11871411749361993,0.14727201342428842,0.17163717546835947
37600,2019-03-27,0.06113693917147673,0.07599544962831205,0.09300145697487769
37600,2022-06-15,-0.03997140084112539,-0.087215047979244,-0.030840313090775937
37660,2018-06-11,0.013792576393591733,-0.016277409203293357,-0.021585621144997454
37760,2018-09-26,0.059521241690126625,-0.020193206481947147,-0.0026227743118454015
37780,2023-06-27,-0.08132408246113719,-0.14646498667417346,-0.2141880979576679
37780,2023-12-08,0.03311795286893433,0.07884020811030686,0.10546702167121287
37840,2018-03-20,0.09453986310108486,0.03360551229050131,-0.013361543776855622
38030,2020-08-26,0.06056911476112391,0.09318527714048597,0.15110644293219025
38030,2025-07-25,-0.1711417608676386,-0.3,-0.3
38040,2017-06-22,0.05406918968299664,0.005518465370537467,0.04999426848958592
38070,2024-11-19,0.06224421983695646,0.0612152852587549,0.11559952899402391
38070,2024-12-12,0.07435832428154557,0.11321582710395417,0.08938785981889596
38100,2017-04-17,0.11389613754110332,0.07252252511501694,0.1465536639192968
38100,2022-06-10,0.12434266663539575,0.25838446734728954,0.18823547104612065
38230,2019-05-16,-0.021925951516549375,-0.014264835813141178,0.03678195686756265
38410,2024-08-02,0.08487584051036942,0.3,0.24945241363430137
38420,2020-01-06,-0.015540232076214562,0.051428607706569054,0.08052513683937049
38530,2017-06-06,-0.018258766488830826,0.008625677273276105,0.001311387060433742
38530,2017-07-10,0.022493954777351225,0.049966184444568594,0.07324972044830019
38530,2017-08-25,0.05221270220890548,0.10067889716689754,0.08584710178753231
38530,2025-08-29,0.038276991783147106,0.2290183218566877,0.10300091772313444
38560,2023-04-19,0.054749396053083335,0.23019227750133606,0.05539362054439447
38960,2023-01-27,0.10141229237361345,0.04667817240867621,0.11487719852006097
38960,2024-01-18,-0.01474859059034303,0.15085842432371843,0.1851425507158307
39050,2018-07-24,0.020156798685880516,0.14965912719490332,0.14368480020097674
39050,2024-01-22,-0.005199560649891562,0.05865837701098951,0.05774743043955559
39050,2025-06-09,-0.14688458002110794,-0.10169820664598113,0.005617790773922963
39050,2025-07-15,-0.02675531159328328,-0.10757294802109717,-0.2311530517785343
39060,2018-05-21,0.15234941997734477,0.08294065660768074,-0.12481231108170955
39070,2019-04-02,-0.03948499295877594,0.007991332741730415,0.02649478985753262
39090,2017-10-25,-0.019181124705875564,-0.03776520784497658,-0.02113065013988201
39110,2020-05-20,-0.0694141515430591,-0.022904046140670046,0.09302817999068771
39130,2021-03-16,0.048389954593104786,0.09200860163411254,0.15407137281587022
39270,2020-05-27,0.027003586094016836,0.04193735637116011,0.10309675304427623
39330,2019-11-26,-0.01871805094338351,-0.07623137951952597,-0.2522762894284707
39350,2017-05-22,0.04204246022332814,0.06343341129608303,0.09221690095589469
39360,2018-04-25,0.1379453386823802,0.20863289960422277,0.16287920444367054
39360,2021-08-02,-0.18837242770685045,-0.2003958605875314,-0.3
39360,2021-09-03,-0.05989254651772144,0.033481076980920614,0.10906985624030924
39360,2021-10-18,-0.14933526977240266,-0.3,-0.3
39360,2022-03-25,-0.09383332848279759,-0.2028930407494303,0.09666942073225665
39360,2024-10-17,0.06867354547269842,0.06453730034752339,0.01754649837659137
39370,2017-06-12,0.0035280007590496056,0.05317442182403214,0.0393304988251322
39400,2017-06-09,0.04213260509511448,0.03954327173854707,-0.052984512367114996
39610,2020-06-09,0.005975507159217224,-0.07496823883164569,-0.07301758019905984
39670,2018-01-24,0.05216427957595704,0.09056067155730446,0.05322701479841477
39680,2017-06-12,0.029438603846996397,0.011431693853376215,0.005640828945408648
39870,2019-01-28,-0.009707283758978806,0.02743142540668704,-0.015846996314043016
39870,2023-02-01,-0.036285114197993344,0.008745283604463397,0.03638375218922744
39910,2017-10-30,0.04195656040487311,0.022666330901805073,0.06639075198427319
39950,2022-07-28,0.06902223381058441,0.05258852890532937,0.053183511293872096
39960,2021-09-24,0.07867971671839367,0.11396092433678238,0.11657849933390466
39960,2021-10-27,-2.9115511708368083e-06,-0.015149001093897132,-0.023085409952676474
39970,2025-08-22,-0.01724500699040651,-0.25217035779090546,-0.2788146941804011
40110,2023-03-03,0.04036467125870581,0.007659563900020257,0.01299522171948027
40110,2023-06-13,0.04544559214740694,0.022910827203486576,-0.031793986968547794
40110,2024-03-08,0.04677516164081587,-0.01419651060830171,0.12521684734355287
40220,2019-03-04,0.026359116354671443,0.09891764107159748,0.09964473207745472
